rating_id,user_id,food_id,food_code,rating,User_ID,Food_ID
485,103,96,27243100,3,88,31
486,103,193,42401100,1,88,69
487,103,358,11519205,3,88,16
488,104,120,27445220,5,89,40
489,104,400,73105010,2,89,110
490,104,286,75418020,1,89,118
491,104,450,92613510,5,89,134
492,104,293,75440610,3,89,122
493,104,52,26153122,2,89,22
494,104,190,41812450,1,89,68
495,64,293,75440610,5,55,122
496,70,293,75440610,3,61,122
497,105,428,92550040,5,90,127
498,105,379,64101010,2,90,91
499,105,158,28340610,3,90,54
500,105,193,42401100,5,90,69
501,106,293,75440610,3,91,122
502,106,287,75418030,2,91,119
503,106,286,75418020,2,91,118
504,106,378,64100220,4,91,90
505,107,330,11370000,5,92,8
506,107,123,27450030,5,92,43
507,107,158,28340610,2,92,54
508,107,177,32105230,4,92,60
509,107,341,11513370,4,92,14
510,107,379,64101010,5,92,91
511,107,13,11435100,3,92,10
512,107,381,64104030,4,92,93
513,108,199,58151170,3,93,74
514,108,181,41203030,2,93,62
515,108,328,11350030,2,93,7
516,108,296,75608100,3,93,123
517,109,147,27550720,4,94,49
518,109,154,28311010,5,94,52
519,109,433,92550370,2,94,129
520,109,328,11350030,2,94,7
521,109,228,58164210,2,94,85
522,109,333,11511400,3,94,13
523,109,13,11435100,1,94,10
524,109,158,28340610,4,94,54
525,110,381,64104030,1,95,93
526,110,251,71601040,3,95,100
527,111,146,27550420,5,96,48
528,111,332,11511300,4,96,12
529,112,238,58404500,4,97,87
530,112,332,11511300,2,97,12
531,112,115,27363100,5,97,37
532,113,123,27450030,1,98,43
533,113,185,41311040,1,98,66
534,113,101,27250160,3,98,34
535,113,332,11511300,2,98,12
536,113,98,27250030,3,98,33
537,113,158,28340610,4,98,54
538,114,278,75147000,1,99,113
539,114,333,11511400,1,99,13
540,114,166,28355310,2,99,56
541,115,333,11511400,2,100,13
542,115,301,75657000,3,100,124
543,115,193,42401100,1,100,69
544,115,176,32105210,5,100,59
545,116,327,11350020,4,101,6
546,116,96,27243100,3,101,31
547,116,134,27450080,2,101,45
548,116,184,41311030,4,101,65
549,116,286,75418020,3,101,118
550,116,328,11350030,4,101,7
551,117,121,27450010,5,102,41
552,117,435,92550400,3,102,130
553,117,181,41203030,3,102,62
554,118,358,11519205,3,103,16
555,118,286,75418020,1,103,118
556,118,203,58151210,3,103,77
557,118,201,58151190,3,103,75
558,119,293,75440610,1,104,122
559,119,450,92613510,3,104,134
560,119,120,27445220,5,104,40
561,119,98,27250030,3,104,33
562,119,333,11511400,2,104,13
563,120,214,58160000,5,105,81
564,120,176,32105210,3,105,59
565,120,264,71801100,5,105,102
566,120,146,27550420,5,105,48
567,121,120,27445220,2,106,40
568,121,428,92550040,3,106,127
569,121,435,92550400,3,106,130
570,121,176,32105210,2,106,59
571,121,204,58151220,3,106,78
572,121,201,58151190,4,106,75
573,122,202,58151200,4,107,76
574,122,278,75147000,5,107,113
575,122,400,73105010,3,107,110
576,122,205,58151230,3,107,79
577,123,202,58151200,4,108,76
578,123,203,58151210,4,108,77
579,123,381,64104030,3,108,93
580,123,332,11511300,5,108,12
581,123,171,32103035,4,108,58
582,123,121,27450010,3,108,41
583,124,52,26153122,3,109,22
585,124,62,26303160,3,109,24
586,124,133,27450070,4,109,44
587,124,450,92613510,2,109,134
588,124,301,75657000,5,109,124
589,124,205,58151230,3,109,79
590,125,393,64134100,4,110,98
591,125,428,92550040,3,110,127
592,125,458,94220215,3,110,135
593,125,224,58163420,4,110,84
594,125,115,27363100,1,110,37
595,125,237,58200250,4,110,86
596,125,269,72125500,3,110,105
598,126,203,58151210,4,111,77
599,126,458,94220215,4,111,135
600,126,96,27243100,3,111,31
601,126,212,58156110,5,111,80
602,126,328,11350030,4,111,7
603,126,45,26137123,3,111,21
604,127,184,41311030,5,112,65
605,127,458,94220215,4,112,135
606,127,278,75147000,4,112,113
607,128,282,75403200,4,113,117
608,128,189,41812400,3,113,67
609,128,264,71801100,5,113,102
610,128,202,58151200,2,113,76
611,128,385,64124020,4,113,95
612,128,380,64104010,5,113,92
613,128,89,27150010,2,113,27
614,128,330,11370000,2,113,8
615,129,202,58151200,5,114,76
616,129,204,58151220,5,114,78
617,129,203,58151210,4,114,77
618,129,170,32103030,2,114,57
619,129,183,41311020,2,114,64
620,129,372,61210250,4,114,89
621,129,370,61210010,5,114,88
622,130,264,71801100,4,115,102
623,130,265,71803010,4,115,103
624,130,8,11432000,4,115,9
625,130,416,92510955,2,115,126
626,130,433,92550370,2,115,129
627,130,443,92582100,5,115,131
628,130,403,75132000,3,115,111
629,131,214,58160000,5,116,81
631,131,95,27213010,2,116,30
632,131,403,75132000,4,116,111
633,131,183,41311020,4,116,64
634,131,327,11350020,2,116,6
635,131,190,41812450,4,116,68
636,131,156,28340110,2,116,53
637,132,123,27450030,4,117,43
638,132,204,58151220,3,117,78
639,132,134,27450080,4,117,45
640,132,435,92550400,5,117,130
641,133,115,27363100,4,118,37
642,133,212,58156110,4,118,80
643,133,219,58163130,5,118,83
644,133,251,71601040,1,118,100
645,133,473,95312400,4,118,138
646,133,395,64201010,1,118,99
647,134,118,27416400,5,119,39
649,134,198,58150520,3,119,73
650,134,197,58150100,4,119,72
651,134,190,41812450,1,119,68
652,134,282,75403200,2,119,117
653,135,319,11320000,4,120,1
