rating_id,user_id,food_id,food_code,rating,User_ID,Food_ID
75,22,366,42404010,5,16,82
76,22,55,26205160,4,16,28
77,23,142,27510700,3,17,59
78,23,64,26305160,5,17,31
79,23,96,27243100,5,17,42
80,23,96,27243100,5,17,42
81,23,181,41203030,4,17,73
82,23,399,73105000,2,17,122
83,23,270,72202010,3,17,119
84,23,400,73105010,5,17,123
85,23,296,75608100,4,17,136
86,5,228,58164210,4,2,97
87,5,101,27250160,3,2,45
88,5,176,32105210,1,2,70
89,5,328,11350030,2,2,6
90,5,120,27445220,4,2,51
91,5,133,27450070,1,2,55
92,6,364,11553130,3,3,20
93,6,122,27450020,3,3,53
94,6,212,58156110,1,3,91
95,6,96,27243100,5,3,42
96,6,98,27250030,3,3,44
97,6,379,64101010,1,3,104
98,9,176,32105210,5,4,70
99,9,450,92613510,1,4,145
100,9,147,27550720,5,4,61
101,9,161,28350050,5,4,66
102,9,154,28311010,3,4,63
103,9,228,58164210,3,4,97
104,27,45,26137123,3,18,26
105,27,111,27350410,4,18,47
106,27,101,27250160,1,18,45
107,27,15,11446000,3,18,10
110,28,120,27445220,3,19,51
111,28,158,28340610,4,19,65
112,28,101,27250160,2,19,45
113,28,379,64101010,5,19,104
114,28,98,27250030,5,19,44
115,29,96,27243100,4,20,42
116,29,161,28350050,5,20,66
117,29,45,26137123,2,20,26
118,29,228,58164210,2,20,97
119,29,287,75418030,2,20,132
120,29,101,27250160,5,20,45
121,29,98,27250030,2,20,44
122,29,286,75418020,3,20,131
124,30,73,26315190,3,21,33
125,30,96,27243100,3,21,42
126,28,96,27243100,5,19,42
127,30,136,27450100,2,21,57
128,30,293,75440610,1,21,135
129,30,271,72202020,2,21,120
130,30,205,58151230,3,21,90
131,30,13,11435100,2,21,9
132,31,448,92611100,1,22,143
133,31,25,26109143,5,22,24
134,31,279,75148010,3,22,127
135,31,185,41311040,2,22,77
136,31,242,58407050,1,22,100
137,32,393,64134100,2,23,111
138,32,117,27415140,5,23,49
140,32,333,11511400,5,23,12
141,32,387,64132500,1,23,109
142,32,176,32105210,3,23,70
143,32,89,27150010,2,23,37
144,33,219,58163130,2,24,94
145,33,277,75146000,2,24,125
146,34,403,75132000,4,25,124
147,34,158,28340610,5,25,65
149,35,324,11321200,5,26,2
150,35,158,28340610,4,26,65
151,35,95,27213010,4,26,41
152,35,328,11350030,1,26,6
153,35,400,73105010,3,26,123
154,36,278,75147000,4,27,126
155,36,158,28340610,3,27,65
156,36,176,32105210,3,27,70
157,36,133,27450070,1,27,55
158,36,433,92550370,2,27,141
159,36,385,64124020,4,27,108
160,36,238,58404500,3,27,99
161,37,287,75418030,2,28,132
162,37,301,75657000,2,28,137
163,37,267,72125260,2,28,117
164,37,176,32105210,1,28,70
165,37,228,58164210,5,28,97
166,38,193,42401100,2,29,80
167,38,120,27445220,4,29,51
168,38,156,28340110,1,29,64
169,38,154,28311010,3,29,63
170,38,324,11321200,2,29,2
171,38,433,92550370,3,29,141
