food_id,food_code,name,category,type,calories,protein,carbs,fat,fiber,sugar,vitamin_a,vitamin_b6,vitamin_b12,vitamin_c,vitamin_d,vitamin_e
263,71704000,Stewed potatoes with tomatoes,Potatoes,Food,94.0,1.61,15.4,3.17,1.4,2.31,13.0,0.221,0.0,12.7,0.0,0.56
264,71801100,Potato and cheese soup,Soups,Food,74.0,2.74,8.54,3.36,1.0,1.54,56.0,0.118,0.1,5.9,0.3,0.24
265,71803010,Potato chowder,Soups,Food,90.0,3.92,8.59,4.57,0.6,4.13,51.0,0.12,0.36,3.6,0.8,0.08
267,72125260,Spinach and cheese casserole,Vegetable dishes,Food,129.0,7.02,9.91,7.44,2.8,1.05,426.0,0.109,0.19,1.1,0.4,2.45
269,72125500,Channa Saag,Vegetable dishes,Food,85.0,4.07,9.54,4.17,3.4,1.81,336.0,0.188,0.0,15.0,0.0,2.08
270,72202010,Broccoli casserole with noodles,Vegetable dishes,Food,109.0,3.72,16.02,3.79,2.0,1.49,45.0,0.106,0.05,41.1,0.1,0.55
271,72202020,Broccoli casserole with rice,Vegetable dishes,Food,106.0,4.13,15.09,3.5,1.9,1.22,49.0,0.101,0.05,19.8,0.2,0.79
273,72307000,Spinach soup,Soups,Food,30.0,2.92,2.88,0.98,0.8,1.68,177.0,0.086,0.17,7.7,0.3,0.74
277,75146000,"Greek Salad, no dressing",Vegetable dishes,Food,42.0,2.62,3.84,2.14,1.6,1.34,239.0,0.092,0.11,5.5,0.1,0.41
278,75147000,"Spinach salad, no dressing",Vegetable dishes,Food,81.0,7.02,2.97,4.91,1.6,0.54,370.0,0.202,0.31,20.2,0.5,1.71
279,75148010,"Cobb salad, no dressing",Vegetable dishes,Food,92.0,11.36,2.48,4.34,1.2,1.08,57.0,0.188,0.2,8.9,0.2,0.66
281,75403020,Green bean casserole,Vegetable dishes,Food,50.0,1.88,6.8,2.16,1.8,2.55,26.0,0.081,0.04,5.8,0.2,0.4
282,75403200,"Green beans, cooked, Szechuan-style",Stir-fry and soy-based sauce mixtures,Food,97.0,2.41,8.15,6.92,2.7,3.06,34.0,0.174,0.0,10.9,0.0,1.19
286,75418020,"Squash, summer, casserole with tomato and cheese",Vegetable dishes,Food,84.0,3.46,8.91,4.19,1.4,3.35,44.0,0.125,0.08,13.8,0.2,0.44
287,75418030,"Squash, summer, casserole, with rice and tomato sauce",Vegetable dishes,Food,83.0,2.32,14.9,1.65,1.1,2.39,17.0,0.118,0.02,10.4,0.0,0.3
289,75418060,"Squash, summer, souffle",Vegetable dishes,Food,122.0,4.66,6.8,8.7,0.7,3.16,105.0,0.112,0.25,6.6,0.7,0.46
291,75439500,"Chow mein or chop suey, meatless, no noodles",Stir-fry and soy-based sauce mixtures,Food,43.0,1.34,5.74,1.68,1.2,2.63,13.0,0.086,0.0,7.2,0.0,0.5
293,75440610,Vegetable curry with rice,Vegetable dishes,Food,102.0,2.02,16.43,3.25,1.3,1.96,39.0,0.118,0.01,7.0,0.0,0.67
296,75608100,"Onion soup, French",Soups,Food,153.0,7.16,16.24,6.76,1.0,2.58,40.0,0.087,0.1,1.5,0.1,0.32
301,75657000,"Vegetable broth, bouillon",Soups,Food,5.0,0.24,0.93,0.07,0.0,0.55,12.0,0.007,0.0,0.4,0.0,0.0
302,11111160,"Milk, calcium fortified, low fat (1%)",Milk,Beverage,43.0,3.38,5.19,0.95,0.0,4.96,58.0,0.06,0.61,0.0,1.1,0.02
319,11320000,Soy milk,Milk substitutes,Beverage,43.0,2.6,4.92,1.47,0.2,3.65,55.0,0.031,0.85,0.0,1.1,0.11
321,11320200,"Soy milk, nonfat",Milk substitutes,Beverage,28.0,2.47,4.14,0.04,0.2,3.65,61.0,0.024,0.23,0.0,1.0,0.08
324,11321200,"Soy milk, nonfat, chocolate",Milk substitutes,Beverage,47.0,2.1,8.24,0.64,0.7,7.13,61.0,0.037,1.0,0.0,1.2,0.13
325,11350000,"Almond milk, sweetened",Milk substitutes,Beverage,30.0,0.38,5.24,0.93,0.2,4.77,86.0,0.0,0.0,0.0,1.0,2.7
326,11350010,"Almond milk, sweetened, chocolate",Milk substitutes,Beverage,41.0,0.43,8.34,0.95,0.3,7.72,83.0,0.0,0.0,0.0,0.9,2.61
327,11350020,"Almond milk, unsweetened",Milk substitutes,Beverage,15.0,0.4,1.31,0.96,0.2,0.81,90.0,0.0,0.0,0.0,1.0,2.81
328,11350030,"Almond milk, unsweetened, chocolate",Milk substitutes,Beverage,16.0,0.46,1.48,1.0,0.3,0.81,90.0,0.0,0.0,0.0,1.0,2.8
330,11370000,Coconut milk,Milk substitutes,Beverage,31.0,0.21,2.92,2.08,0.0,2.5,63.0,0.0,0.63,0.0,1.0,0.0
332,11511300,"Chocolate milk, ready to drink, fat free",Milk,Beverage,67.0,3.39,13.46,0.0,0.0,8.39,64.0,0.024,0.32,1.0,1.1,0.04
333,11511400,"Chocolate milk, ready to drink, low fat",Milk,Beverage,64.0,3.46,10.15,1.11,0.1,9.94,52.0,0.047,0.23,0.4,1.1,0.0
341,11513370,"Chocolate milk, made from reduced sugar mix with fat free milk",Milk,Beverage,48.0,3.67,7.63,0.27,0.4,6.01,61.0,0.134,0.56,2.4,1.1,0.0
354,11513854,"Chocolate milk, made from sugar free syrup with fat free milk",Milk,Beverage,35.0,3.36,6.06,0.32,0.4,4.45,56.0,0.053,0.51,0.0,1.0,0.0
358,11519205,"Strawberry milk, fat free",Milk,Beverage,61.0,3.18,12.03,0.09,0.0,11.9,59.0,0.054,0.54,0.0,1.0,0.0
365,42403010,"Coconut water, unsweetened",Fruit drinks,Beverage,18.0,0.22,4.24,0.0,0.0,3.92,0.0,0.0,0.0,9.9,0.0,0.0
366,42404010,"Coconut water, sweetened",Fruit drinks,Beverage,37.0,0.21,9.07,0.02,0.0,8.78,0.0,0.0,0.0,9.4,0.0,0.0
370,61210010,"Orange juice, 100%,  freshly squeezed",Fruit drinks,Beverage,45.0,0.7,10.4,0.2,0.2,8.4,10.0,0.04,0.0,50.0,0.0,0.04
372,61210250,"Orange juice, 100%, with calcium added, canned, bottled or in a carton",Fruit drinks,Beverage,47.0,0.68,11.27,0.12,0.3,8.31,2.0,0.076,0.0,33.6,0.6,0.2
378,64100220,"Cranberry juice blend, 100% juice, with calcium added",Fruit drinks,Beverage,45.0,0.27,10.91,0.12,0.1,9.8,1.0,0.018,0.0,31.5,0.0,0.01
379,64101010,Apple cider,Fruit drinks,Beverage,46.0,0.1,11.3,0.13,0.2,9.62,0.0,0.018,0.0,0.9,0.0,0.01
380,64104010,"Apple juice, 100%",Fruit drinks,Beverage,46.0,0.1,11.3,0.13,0.2,9.62,0.0,0.018,0.0,10.3,0.0,0.01
381,64104030,"Apple juice, 100%, with calcium added",Fruit drinks,Beverage,48.0,0.12,11.49,0.17,0.3,9.47,0.0,0.018,0.0,30.3,0.0,0.01
382,64104600,"Blackberry juice, 100%",Fruit drinks,Beverage,38.0,0.3,7.8,0.6,0.1,7.7,6.0,0.021,0.0,11.3,0.0,0.9
385,64124020,"Pineapple juice, 100%",Fruit drinks,Beverage,53.0,0.36,12.87,0.12,0.2,9.98,0.0,0.1,0.0,43.8,0.0,0.02
387,64132500,"Strawberry juice, 100%",Fruit drinks,Beverage,38.0,0.3,7.8,0.6,0.1,7.7,6.0,0.021,0.0,11.3,0.0,0.9
388,64133100,"Watermelon juice, 100%",Fruit drinks,Beverage,30.0,0.61,7.55,0.15,0.4,6.2,28.0,0.045,0.0,8.1,0.0,0.05
393,64134100,"Fruit smoothie, light",Smoothies drinks,Beverage,52.0,2.65,9.69,0.62,1.1,7.01,22.0,0.091,0.31,8.5,0.3,0.15
395,64201010,Apricot nectar,Fruit drinks,Beverage,56.0,0.17,13.63,0.45,0.1,12.79,16.0,0.037,0.0,29.7,0.0,0.41
399,73105000,Beet juice,Fruit drinks,Beverage,25.0,0.72,5.91,0.06,1.1,4.84,1.0,0.05,0.0,2.5,0.0,0.03
400,73105010,"Carrot juice, 100%",Fruit drinks,Beverage,40.0,0.95,9.28,0.15,0.8,3.91,956.0,0.217,0.0,8.5,0.0,1.16
403,75132000,Mixed vegetable juice,Fruit drinks,Beverage,27.0,0.82,6.12,0.16,1.2,2.62,489.0,0.146,0.0,5.8,0.0,0.72
405,75200700,Aloe vera juice drink,Fruit drinks,Beverage,15.0,0.0,3.75,0.0,0.0,3.75,0.0,0.0,0.0,3.8,0.0,0.0
409,78101118,"Fruit and vegetable smoothie, non-dairy, added protein",Smoothies drinks,Beverage,79.0,7.18,12.48,0.53,1.6,6.92,85.0,0.224,0.24,15.4,0.3,0.71
416,92510955,"Lemonade, fruit juice drink",Fruit drinks,Beverage,46.0,0.0,12.08,0.0,0.0,11.67,0.0,0.004,0.0,3.1,0.0,0.0
428,92550040,"Fruit juice drink, diet",Fruit drinks,Beverage,1.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
432,92550360,"Apple juice beverage, 40-50% juice, light",Fruit drinks,Beverage,22.0,0.0,5.1,0.1,0.0,4.8,0.0,0.018,0.0,24.0,0.0,0.01
433,92550370,"Lemonade, fruit juice drink, light",Fruit drinks,Beverage,21.0,0.0,5.0,0.0,0.0,5.0,0.0,0.004,0.0,25.0,0.0,0.56
435,92550400,"Vegetable and fruit juice drink, with high vitamin C, diet",Diet drinks,Beverage,4.0,0.0,1.1,0.0,0.0,0.63,105.0,0.004,0.0,25.1,0.0,1.13
443,92582100,"Fruit juice drink, with high vitamin C, plus added calcium",Fruit drinks,Beverage,45.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,30.0,0.0,0.0
448,92611100,Oatmeal beverage with milk,Grain drinks,Beverage,81.0,1.74,15.49,1.59,0.2,13.97,14.0,0.027,0.22,0.0,0.5,0.03
449,92613010,Cornmeal beverage,Grain drinks,Beverage,83.0,1.7,16.3,1.54,0.2,13.87,14.0,0.039,0.22,0.0,0.5,0.03
450,92613510,Cornmeal beverage with chocolate milk,Grain drinks,Beverage,108.0,1.94,20.88,2.4,0.4,17.95,14.0,0.041,0.19,0.0,0.5,0.04
458,94220215,"Water, bottled, flavored, sugar free (Glaceau Vitamin Water)",Enhanced water,Beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,1.02,10.2,0.0,0.0
467,95106000,"Nutritional drink or shake, ready-to-drink (Muscle Milk)",Nutritional beverages,Beverage,52.0,5.87,2.28,2.17,0.2,0.78,88.0,0.224,0.69,27.6,0.7,0.83
471,95110020,"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast)",Nutritional beverages,Beverage,61.0,6.59,0.85,3.38,0.4,0.6,171.0,0.208,0.6,19.4,1.1,4.58
473,95312400,"Energy drink, low calorie (Monster)",Diet drinks,Beverage,5.0,0.0,1.38,0.0,0.0,1.38,0.0,0.833,2.5,0.0,0.0,0.0
474,95312410,"Energy drink, sugar free (Monster)",Diet drinks,Beverage,5.0,0.0,1.38,0.0,0.0,1.38,0.0,0.833,2.5,0.0,0.0,0.0
